quarter,company,company_name,net_sales_ytd,gross_profit_ytd,operating_profit_ytd,net_profit_ytd,ebitda_ytd,gross_margin,operating_margin,net_margin,ebitda_margin,net_sales_ytd_yoy,net_profit_ytd_yoy,ebitda_ytd_yoy,deflator,cpi_index,net_sales_ttm,net_sales_ttm_real,total_assets
2021Q1,SOKM,Şok Marketler,6377044301.0,1495009291.0,256183842.0,83737628.0,447224765.0,23.44360836203637,4.017281830076469,1.313110338387784,7.013041526618681,36.021172106134294,1472.5506088688808,46.95277227367929,6.711140194942744,1.3288197281645824,23042606393.0,154642161960.30695,8408064160.0
2021Q2,SOKM,Şok Marketler,13216469592.0,3071587505.0,563621644.0,194182302.0,954535512.0,23.240605092143884,4.264540088233269,1.4692448739680042,7.222318375988891,33.31921945603567,249.24598078720243,41.88466934246193,6.417531697820498,1.389614560462068,24656903421.0,158236459274.36618,8582041927.0
2021Q3,SOKM,Şok Marketler,20428264880.0,4750237350.0,883781674.0,310011744.0,1489135768.0,23.25325904037328,4.326268918048218,1.5175627779504297,7.2895851740101385,32.67455675969486,184.1044391772255,42.51257435827205,6.157269341166413,1.4483523450719866,26384826392.0,162458482615.46002,8888282698.0
2021Q4,SOKM,Şok Marketler,28411812112.0,6644138979.0,967841685.0,318923675.0,1801665153.0,23.385129230084498,3.406476437281601,1.1225038154651865,6.341253933039524,33.05250126631385,17.289458965612603,16.501939639943885,5.1150093943262815,1.743475876976924,28411812112.0,145326685862.71323,9734829839.0
2022Q1,SOKM,Şok Marketler,10196426723.0,2507391311.0,525211450.0,250308315.0,766166278.0,24.590882464188134,5.150936345330513,2.454863078997876,7.514066435369606,59.892675065799274,198.9197580327926,71.3157092273278,4.165257823313482,2.141018843924526,32231194534.0,134251235187.48224,11539101795.0
2022Q2,SOKM,Şok Marketler,23545297930.0,5641882479.0,1251432281.0,610266493.0,1759766103.0,23.96182242320006,5.314998708958787,2.5918826545084195,7.4739598039140205,78.15119057400999,214.27503264432409,84.35836916248749,3.593430564923052,2.4817219446423846,38740640450.0,139211801497.72433,13789961811.0
2022Q3,SOKM,Şok Marketler,40643051315.0,9727810048.0,2134327481.0,1805424766.0,2940648414.0,23.93474341433068,5.2513957784766285,4.442148676306884,7.235304237392984,98.95498493751663,482.3730232619833,97.47349282661244,3.3563503371489034,2.657021643662397,48626598547.0,163207900427.62784,16180418229.0
2022Q4,SOKM,Şok Marketler,112384820331.0,22751504149.0,36234647.0,6954039535.0,4016511538.0,20.244285733599444,0.03224158466711105,6.18770356576511,3.573891497241726,295.55667863766143,2080.4714043258155,122.93329763924228,3.1141067440387884,2.8637089934663913,112384820331.0,349978326920.3546,46787610957.0
2023Q1,SOKM,Şok Marketler,39342335253.0,8052099324.0,-462908145.0,1036252247.0,932787385.0,20.46675488940631,-1.176615831325624,2.6339368020127427,2.370950730304886,285.8443386275292,313.99034107196957,21.747381969739997,2.7673890892301944,3.222494272389761,141530728861.0,391670594840.7284,21749469832.0
2023Q2,SOKM,Şok Marketler,82970450418.0,15778881993.0,-1034784147.0,1508954988.0,1776158345.0,19.017471778816393,-1.2471719049213563,1.8186655374268526,2.1407119475088106,252.3864962960781,147.26164803545916,0.931501179165517,2.599799525933457,3.430224292512036,171809972819.0,446671485885.4764,23572114263.0
2023Q3,SOKM,Şok Marketler,137419140270.0,26846710858.0,-924418557.0,6321370584.0,3800481805.0,19.536369391666838,-0.6727000002937801,4.600065588810862,2.7656131435059517,238.11226230271535,250.13204111547012,29.239584946859274,2.0779085547065246,4.291765135341938,209160909286.0,434617242715.57477,27957781400.0
2023Q4,SOKM,Şok Marketler,193155221661.0,37996313185.0,-2405983785.0,6135447873.0,4324976014.0,19.67138804649351,-1.2456219222603562,3.1764338650746446,2.239119386371348,71.86949366659303,-11.771455394810316,7.679910118062261,1.8898254981904177,4.718898913184025,193155221661.0,365029663003.5799,76983520651.0
2024Q1,SOKM,Şok Marketler,51542738238.0,9521837877.0,-2739780319.0,-14154491.0,-751458413.0,18.47367486188385,-5.315550575425368,-0.02746165897248464,-1.4579326568373614,31.010876468167137,-101.36593103088344,-180.56052484028822,1.6424985735408877,5.429469244708736,205355624646.0,337296320549.65295,61694819569.0
2024Q2,SOKM,Şok Marketler,113971218107.0,20129150212.0,-5640411037.0,222423739.0,-1310661726.0,17.661608383532478,-4.948978462004849,0.1951578150118402,-1.1499936104653254,37.363624679413036,-85.25974990845783,-173.7919414499049,1.5151314214389107,5.885889080862009,224155989350.0,339625782767.9108,69836831235.0
2024Q3,SOKM,Şok Marketler,190174649588.0,33307597083.0,-9533664319.0,279606988.0,-2337316179.0,17.51421504136254,-5.013109970048065,0.14702642471315122,-1.2290366692214925,38.390219305947056,-95.57679803320323,-161.50052280016115,1.391031384219276,6.410995172854016,245910730979.0,342069544508.0924,71656384962.0
2024Q4,SOKM,Şok Marketler,264629947407.0,48371451343.0,-11413492876.0,80162843.0,-1175690548.0,18.27890298016984,-4.3130012259897725,0.030292430537617807,-0.4442772103158044,37.00377609850114,-98.6934475744995,-127.18374724378299,1.308985329475488,6.812830738975226,264629947407.0,346396718895.633,98877955357.0
2025Q1,SOKM,Şok Marketler,71012703375.0,13765364101.0,-3669528319.0,-467472979.0,-593761802.0,19.38436849574451,-5.167425185353324,-0.6582948638518861,-0.8361346263139641,37.77440974729922,3202.64775328198,-20.985407611638518,1.1893750016274602,7.497967821179674,284099912544.0,337901333944.3813,84630694527.0
2025Q2,SOKM,Şok Marketler,118652145586.0,22962221163.0,-5018199034.0,-722769360.0,-232569630.0,19.35255451942654,-4.229336948957885,-0.6091498442193202,-0.19600962869350874,4.107113670229778,-424.95153765938625,-82.25555645774614,1.1219609689505292,7.948489953139749,269310874886.0,302156290136.0113,89781306863.0
2025Q3,SOKM,Şok Marketler,198429713743.0,39781241839.0,-6395521508.0,-512715313.0,2075904650.0,20.048026622929786,-3.223066438670209,-0.25838635924459025,1.046166227245909,4.340780526155319,-283.3699925267962,-188.8157395499721,1.043628204465,8.54508861619914,272885011562.0,284790494641.86084,99228057327.0
2025Q4,SOKM,Şok Marketler,306804878486.0,63014022045.0,-7170533082.0,-2121801948.0,5521746129.0,20.538794023079863,-2.337163971246045,-0.6915802507673688,1.7997582555558895,15.93732360689135,-2746.8646427622334,-569.6598214890131,1.0,8.91789548951822,306804878486.0,306804878486.0,116278223304.0
